Time,Type,Length
125709454000,MWr,40
125709489000,MWr,40
125710124000,MWr,40
125710159000,MWr,40
125710194000,MWr,40
125710229000,MWr,40
125710264000,MWr,40
125710299000,MWr,40
125710334000,MWr,40
125710373000,MWr,40
125710408000,MWr,40
125710443000,MWr,40
125710478000,MWr,40
125710513000,MWr,40
125710548000,MWr,40
125710583000,MWr,40
125710620000,MWr,40
125710659000,MWr,40
125710694000,MWr,40
125710729000,MWr,40
125710764000,MWr,40
125710799000,MWr,40
125710834000,MWr,40
125710869000,MWr,40
125710918000,MWr,40
125710953000,MWr,40
125710988000,MWr,40
125711023000,MWr,40
125711058000,MWr,40
125711093000,MWr,40
125711128000,MWr,40
125711167000,MWr,40
125711202000,MWr,40
125711237000,MWr,40
125712030000,MWr,40
125712065000,MWr,40
125712100000,MWr,40
125712135000,MWr,40
125712170000,MWr,40
125712209000,MWr,40
125712244000,MWr,40
125712279000,MWr,40
125712314000,MWr,40
125712349000,MWr,40
125712384000,MWr,40
125712419000,MWr,40
125712458000,MWr,40
125712493000,MWr,40
125712528000,MWr,40
125712563000,MWr,40
125712598000,MWr,40
125712633000,MWr,40
125712670000,MWr,40
125712705000,MWr,40
125712744000,MWr,40
125712779000,MWr,40
125712814000,MWr,40
125712849000,MWr,40
125712884000,MWr,40
125712919000,MWr,40
125712954000,MWr,40
125712993000,MWr,40
125713028000,MWr,40
125713063000,MWr,40
125713098000,MWr,40
125713133000,MWr,40
125714752000,MWr,40
125714787000,MWr,40
125714826000,MWr,40
125714861000,MWr,40
125714896000,MWr,40
125714931000,MWr,40
125714966000,MWr,40
125715001000,MWr,40
125715036000,MWr,40
125715075000,MWr,40
125715110000,MWr,40
125715147000,MWr,40
125715182000,MWr,40
125715217000,MWr,40
125715252000,MWr,40
125715287000,MWr,40
125716676000,MWr,40
125716711000,MWr,40
125716746000,MWr,40
125716781000,MWr,40
125716816000,MWr,40
125716851000,MWr,40
125716890000,MWr,40
125716936000,MWr,40
125716971000,MWr,40
125717006000,MWr,40
125717041000,MWr,40
125717076000,MWr,40
125717111000,MWr,40
125717152000,MWr,40
125717187000,MWr,40
125717222000,MWr,40
125718584000,MWr,40
125718619000,MWr,40
125718654000,MWr,40
125718689000,MWr,40
125718728000,MWr,40
125718763000,MWr,40
125718798000,MWr,40
125718833000,MWr,40
125718868000,MWr,40
125718905000,MWr,40
125718940000,MWr,40
125718979000,MWr,40
125719014000,MWr,40
125719049000,MWr,40
125719084000,MWr,40
125719119000,MWr,40
125720498000,MWr,40
125720537000,MWr,40
125720572000,MWr,40
125720607000,MWr,40
125720642000,MWr,40
125720677000,MWr,40
125720712000,MWr,40
125720747000,MWr,40
125720782000,MWr,40
125720821000,MWr,40
125720856000,MWr,40
125720891000,MWr,40
125720926000,MWr,40
125720961000,MWr,40
125720996000,MWr,40
125721034000,MWr,40
125723086000,MWr,40
125723121000,MWr,40
125723160000,MWr,40
125723195000,MWr,40
125723230000,MWr,40
125723265000,MWr,40
125723300000,MWr,40
125723335000,MWr,40
125723370000,MWr,40
125723409000,MWr,40
125723444000,MWr,40
125723481000,MWr,40
125723516000,MWr,40
125723551000,MWr,40
125723586000,MWr,40
125723621000,MWr,40
125725000000,MWr,40
125725037000,MWr,40
125725072000,MWr,40
125725107000,MWr,40
125725142000,MWr,40
125725177000,MWr,40
125725212000,MWr,40
125725251000,MWr,40
125725286000,MWr,40
125725321000,MWr,40
125725356000,MWr,40
125725391000,MWr,40
125725426000,MWr,40
125725461000,MWr,40
125725500000,MWr,40
125725535000,MWr,40
125725810000,MWr,4
125725898000,MWr,1
125726916000,MWr,40
125726951000,MWr,40
125726986000,MWr,40
125727021000,MWr,40
125727060000,MWr,40
125727095000,MWr,40
125727130000,MWr,40
125727165000,MWr,40
125727200000,MWr,40
125727235000,MWr,40
125727270000,MWr,40
125727305000,MWr,40
125727344000,MWr,40
125727379000,MWr,40
125727414000,MWr,40
125727449000,MWr,40
125728828000,MWr,40
125728863000,MWr,40
125728902000,MWr,40
125728937000,MWr,40
125728986000,MWr,40
125729021000,MWr,40
125729056000,MWr,40
125729091000,MWr,40
125729126000,MWr,40
125729165000,MWr,40
125729200000,MWr,40
125729237000,MWr,40
125729272000,MWr,40
125729307000,MWr,40
125729342000,MWr,40
125729377000,MWr,40
125730752000,MWr,1
125731418000,MWr,40
125731453000,MWr,40
125731492000,MWr,40
125731527000,MWr,40
125731562000,MWr,40
125731597000,MWr,40
125731632000,MWr,40
125731667000,MWr,40
125731702000,MWr,40
125731741000,MWr,40
125731776000,MWr,40
125731811000,MWr,40
125731846000,MWr,40
125731881000,MWr,40
125731916000,MWr,40
125731951000,MWr,40
125733332000,MWr,40
125733369000,MWr,40
125733402000,MWr,40
125733437000,MWr,40
125733472000,MWr,40
125733507000,MWr,40
125733544000,MWr,40
125733581000,MWr,40
125733618000,MWr,40
125733653000,MWr,40
125733688000,MWr,40
125733723000,MWr,40
125733758000,MWr,40
125733793000,MWr,40
125733832000,MWr,40
125733867000,MWr,40
125735246000,MWr,40
125735281000,MWr,40
125735316000,MWr,40
125735351000,MWr,40
125735390000,MWr,40
125735425000,MWr,40
125735460000,MWr,40
125735495000,MWr,40
125735530000,MWr,40
125735565000,MWr,40
125735600000,MWr,40
125735635000,MWr,40
125735674000,MWr,40
125735709000,MWr,40
125735744000,MWr,40
125735779000,MWr,40
125737158000,MWr,40
125737193000,MWr,40
125737232000,MWr,40
125737267000,MWr,40
125737302000,MWr,40
125737337000,MWr,40
125737372000,MWr,40
125737407000,MWr,40
125737442000,MWr,40
125737481000,MWr,40
125737516000,MWr,40
125737551000,MWr,40
125737586000,MWr,40
125737621000,MWr,40
125737656000,MWr,40
125737691000,MWr,40
125739746000,MWr,40
125739781000,MWr,40
125739820000,MWr,40
125739855000,MWr,40
125739890000,MWr,40
125739925000,MWr,40
125739960000,MWr,40
125739995000,MWr,40
125740030000,MWr,40
125740069000,MWr,40
125740104000,MWr,40
125740139000,MWr,40
125740174000,MWr,40
125740209000,MWr,40
125740244000,MWr,40
125740279000,MWr,40
125741664000,MWr,40
125741699000,MWr,40
125741734000,MWr,40
125741769000,MWr,40
125741804000,MWr,40
125741839000,MWr,40
125741874000,MWr,40
125741913000,MWr,40
125741950000,MWr,40
125741983000,MWr,40
125742020000,MWr,40
125742055000,MWr,40
125742090000,MWr,40
125742125000,MWr,40
125742164000,MWr,40
125742199000,MWr,40
125743580000,MWr,40
125743615000,MWr,40
125743650000,MWr,40
125743685000,MWr,40
125743724000,MWr,40
125743759000,MWr,40
125743794000,MWr,40
125743829000,MWr,40
125743864000,MWr,40
125743899000,MWr,40
125743934000,MWr,40
125743973000,MWr,40
125744022000,MWr,40
125744057000,MWr,40
125744092000,MWr,40
125744127000,MWr,40
125745492000,MWr,40
125745531000,MWr,40
125745566000,MWr,40
125745601000,MWr,40
125745636000,MWr,40
125745671000,MWr,40
125745706000,MWr,40
125745741000,MWr,40
125745776000,MWr,40
125745815000,MWr,40
125745850000,MWr,40
125745885000,MWr,40
125745920000,MWr,40
125745955000,MWr,40
125745990000,MWr,40
125746025000,MWr,40
125748082000,MWr,40
125748117000,MWr,40
125748156000,MWr,40
125748191000,MWr,40
125748226000,MWr,40
125748261000,MWr,40
125748298000,MWr,40
125748331000,MWr,40
125748366000,MWr,40
125748407000,MWr,40
125748442000,MWr,40
125748477000,MWr,40
125748512000,MWr,40
125748547000,MWr,40
125748582000,MWr,40
125748617000,MWr,40
125749998000,MWr,40
125750050000,MWr,40
125750085000,MWr,40
125750120000,MWr,40
125750155000,MWr,40
125750190000,MWr,40
125750229000,MWr,40
125750264000,MWr,40
125750299000,MWr,40
125750336000,MWr,40
125750371000,MWr,40
125750406000,MWr,40
125750441000,MWr,40
125750476000,MWr,40
125750515000,MWr,40
125750550000,MWr,40
125751912000,MWr,40
125751947000,MWr,40
125751984000,MWr,40
125752019000,MWr,40
125752058000,MWr,40
125752093000,MWr,40
125752128000,MWr,40
125752163000,MWr,40
125752198000,MWr,40
125752233000,MWr,40
125752268000,MWr,40
125752303000,MWr,40
125752342000,MWr,40
125752377000,MWr,40
125752412000,MWr,40
125752447000,MWr,40
125753818000,MWr,40
125753854000,MWr,40
125753894000,MWr,40
125753929000,MWr,40
125753964000,MWr,40
125753999000,MWr,40
125754034000,MWr,40
125754069000,MWr,40
125754104000,MWr,40
125754145000,MWr,40
125754180000,MWr,40
125754215000,MWr,40
125754250000,MWr,40
125754285000,MWr,40
125754320000,MWr,40
125754355000,MWr,40
125754546000,MWr,4
125754628000,MWr,1
125757104000,MWr,1
337633490000,MWr,1
337633493000,MRd,1
337633658000,CplD,1
337633716000,MRd,10
337634378000,MRd,1
337634530000,CplD,1
337657776000,CplD,10
339009988000,MWr,4
339010070000,MWr,1
339022102000,MWr,1
841354082000,MWr,1
841354085000,MRd,1
841355048000,CplD,1
841355800000,MRd,1
841356372000,CplD,1
841370870000,MRd,10
841378654000,CplD,10
841970156000,MWr,4
841971516000,MWr,1
841981008000,MWr,1
842511502000,MWr,1
842511505000,MWr,1
844692604000,MRd,10
844692702000,MRd,10
844700132000,CplD,10
844700146500,CplD,10
844743666000,MWr,2
844743808000,MRd,2
844751308000,CplD,2
844751790000,MWr,40
844751825000,MWr,40
844751860000,MWr,40
844751895000,MWr,40
844751930000,MWr,40
844751969000,MWr,40
844752004000,MWr,40
844752039000,MWr,40
844752074000,MWr,40
844752109000,MWr,40
844752146000,MWr,2
844752290000,MRd,2
844752356000,MRd,2
844753052000,CplD,2
844753092000,CplD,2
844753508000,MWr,40
844753547000,MWr,40
844753582000,MWr,40
844753617000,MWr,40
844753652000,MWr,40
844753687000,MWr,40
844753722000,MWr,40
844753757000,MWr,40
844753796000,MWr,40
844753831000,MWr,40
844754030000,MRd,2
844754904000,CplD,2
844792500000,MWr,40
844792535000,MWr,40
844792570000,MWr,40
844792609000,MWr,40
844792644000,MWr,40
844792681000,MWr,40
844792714000,MWr,40
844792751000,MWr,40
844792786000,MWr,40
844792821000,MWr,40
844792856000,MWr,40
844792895000,MWr,40
844792930000,MWr,40
844792965000,MWr,40
844793000000,MWr,40
844793035000,MWr,40
844793312000,MWr,4
844793400000,MWr,1
844803656000,MWr,1
844826132000,MWr,40
844826167000,MWr,40
844826203000,MWr,40
844826243000,MWr,40
844826278000,MWr,40
844826313000,MWr,40
844826364000,MWr,40
844826399000,MWr,40
844826434000,MWr,40
844826473000,MWr,40
844826508000,MWr,40
844826543000,MWr,40
844826578000,MWr,40
844826613000,MWr,40
844826648000,MWr,40
844826683000,MWr,40
844826958000,MWr,4
844827044000,MWr,1
844840598000,MWr,1
1047155014000,MWr,1
1047155234000,MRd,10
1047155600000,MRd,1
1047155748000,CplD,1
1047156084000,CplD,10
1047156474000,MRd,1
1047156626000,CplD,1
1047662580000,MWr,4
1047662660000,MWr,1
1047688392000,MWr,1
1189682790000,MWr,1
1189683420000,MRd,1
1189684044000,CplD,1
1189684760000,MRd,1
1189685326000,CplD,1
1189721990000,MRd,10
1189731966000,CplD,10
1190380472000,MWr,4
1190381832000,MWr,1
1190390588000,MWr,1
1191507456000,MWr,1
1193103808000,MRd,10
1193111336000,CplD,10
1193111722000,MRd,80
1193111730000,MRd,80
1193111738000,MRd,80
1193111746000,MRd,80
1193111754000,MRd,80
1193111766000,MRd,80
1193111774000,MRd,80
1193111782000,MRd,80
1193112688000,CplD,30
1193112714500,CplD,10
1193112726000,CplD,40
1193112818000,CplD,40
1193112854000,CplD,40
1193112922000,CplD,40
1193112956500,CplD,40
1193112991000,CplD,40
1193113025500,CplD,40
1193113088000,CplD,30
1193113114500,CplD,10
1193113158000,CplD,40
1193113192500,CplD,40
1193113227000,CplD,40
1193113261500,CplD,40
1193113296000,CplD,40
1193113334500,CplD,40
1193113369000,CplD,40
1193114854000,MWr,4
1193114942000,MWr,1
1193152174000,MWr,1
1193229256000,MWr,1
1193229492000,MRd,10
1193230350000,CplD,10
1193230732000,MRd,80
1193230740000,MRd,80
1193230748000,MRd,80
1193230756000,MRd,80
1193230764000,MRd,80
1193230772000,MRd,80
1193230780000,MRd,80
1193230788000,MRd,80
1193230796000,MRd,80
1193230804000,MRd,80
1193230816000,MRd,80
1193230824000,MRd,80
1193230832000,MRd,80
1193230840000,MRd,80
1193230846000,MRd,80
1193230854000,MRd,80
1193231656000,CplD,40
1193231690500,CplD,40
1193231725000,CplD,40
1193231761500,CplD,40
1193231796000,CplD,40
1193231830500,CplD,40
1193231869000,CplD,40
1193231903500,CplD,40
1193231938000,CplD,40
1193231972500,CplD,40
1193232007000,CplD,40
1193232041500,CplD,40
1193232076000,CplD,40
1193232110500,CplD,40
1193232149000,CplD,40
1193232183500,CplD,40
1193232218000,CplD,40
1193232252500,CplD,40
1193232287000,CplD,40
1193232321500,CplD,40
1193232356000,CplD,40
1193232394500,CplD,40
1193232429000,CplD,40
1193232463500,CplD,30
1193232490000,CplD,10
1193232500500,CplD,40
1193232535000,CplD,40
1193232569500,CplD,40
1193232604000,CplD,40
1193232644500,CplD,40
1193232679000,CplD,40
1193232713500,CplD,40
1193232748000,CplD,40
1193235906000,MWr,4
1193235982000,MWr,1
1193303018000,MWr,1
1193327628000,MWr,1
1193327870000,MRd,10
1193328786000,CplD,10
1193329170000,MRd,80
1193329176000,MRd,80
1193329184000,MRd,80
1193329192000,MRd,80
1193329200000,MRd,80
1193329208000,MRd,80
1193329216000,MRd,80
1193329224000,MRd,80
1193330050000,CplD,40
1193330088500,CplD,40
1193330123000,CplD,40
1193330204000,CplD,30
1193330236000,CplD,10
1193330298000,CplD,40
1193330348000,CplD,40
1193330396000,CplD,20
1193330652000,CplD,20
1193330682000,CplD,40
1193330716500,CplD,40
1193330751000,CplD,40
1193330785500,CplD,40
1193330820000,CplD,40
1193330858500,CplD,40
1193330893000,CplD,40
1193330927500,CplD,40
1193330974000,CplD,40
1193332498000,MWr,4
1193332580000,MWr,1
1193393356000,MWr,1
1193422784000,MWr,1
1193423020000,MRd,10
1193423934000,CplD,10
1193424282000,MRd,4
1193424316000,MRd,80
1193424324000,MRd,80
1193424332000,MRd,80
1193424340000,MRd,80
1193424352000,MRd,80
1193424360000,MRd,80
1193424368000,MRd,80
1193424376000,MRd,80
1193425056000,CplD,4
1193425276000,MRd,80
1193425284000,MRd,80
1193425292000,MRd,80
1193425296000,CplD,40
1193425300000,MRd,80
1193425308000,MRd,80
1193425316000,MRd,80
1193425324000,MRd,80
1193425330500,CplD,40
1193425332000,MRd,80
1193425365000,CplD,40
1193425403500,CplD,40
1193425438000,CplD,40
1193425472500,CplD,40
1193425508000,CplD,40
1193425542500,CplD,40
1193425546000,MRd,80
1193425580000,CplD,40
1193425612500,CplD,40
1193425614000,MRd,80
1193425651000,CplD,40
1193425686000,MRd,80
1193425686500,CplD,40
1193425723000,CplD,40
1193425757500,CplD,40
1193425758000,MRd,80
1193425793000,CplD,40
1193425826000,MRd,80
1193425827500,CplD,40
1193425898000,MRd,80
1193425968000,MRd,80
1193426040000,MRd,80
1193426140000,CplD,40
1193426178500,CplD,40
1193426213000,CplD,40
1193426247500,CplD,40
1193426284000,CplD,40
1193426318500,CplD,40
1193426353000,CplD,40
1193426387500,CplD,40
1193426422000,CplD,40
1193426462500,CplD,40
1193426497000,CplD,40
1193426531500,CplD,40
1193426566000,CplD,40
1193426600500,CplD,40
1193426635000,CplD,40
1193426669500,CplD,40
1193426708000,CplD,40
1193426742500,CplD,40
1193426777000,CplD,40
1193426811500,CplD,40
1193426846000,CplD,40
1193426880500,CplD,40
1193426915000,CplD,40
1193426949500,CplD,40
1193426988000,CplD,20
1193427006500,CplD,20
1193427025000,CplD,40
1193427059500,CplD,40
1193427094000,CplD,40
1193427128500,CplD,40
1193427163000,CplD,40
1193427197500,CplD,40
1193427236000,CplD,40
1193428470000,MWr,4
1193428556000,MWr,1
1193432438000,MWr,1
1193446796000,MWr,1
1193447034000,MRd,10
1193447958000,CplD,10
1193448346000,MRd,80
1193448354000,MRd,80
1193448362000,MRd,80
1193448370000,MRd,80
1193448378000,MRd,80
1193448386000,MRd,80
1193448394000,MRd,80
1193448402000,MRd,80
1193449242000,CplD,40
1193449276500,CplD,40
1193449311000,CplD,20
1193449370000,CplD,20
1193449428000,CplD,40
1193449462500,CplD,40
1193449497000,CplD,40
1193449532000,CplD,40
1193449594000,CplD,40
1193449650000,CplD,40
1193449698000,CplD,40
1193449780000,CplD,40
1193449814500,CplD,40
1193449849000,CplD,40
1193449887500,CplD,40
1193449922000,CplD,40
1193449956500,CplD,40
1193451130000,MWr,4
1193451216000,MWr,1
1193530262000,MWr,1
1193572488000,MWr,1
1193572734000,MRd,10
1193573582000,CplD,10
1193573936000,MRd,6
1193573972000,MRd,80
1193573980000,MRd,80
1193573988000,MRd,80
1193573996000,MRd,80
1193574004000,MRd,80
1193574010000,MRd,80
1193574018000,MRd,80
1193574026000,MRd,80
1193574750000,CplD,6
1193574812000,CplD,40
1193574894000,CplD,30
1193574920500,CplD,10
1193574972000,MRd,80
1193574980000,MRd,80
1193574988000,MRd,80
1193574996000,MRd,80
1193575004000,MRd,80
1193575012000,MRd,80
1193575020000,MRd,80
1193575028000,MRd,80
1193575060000,CplD,40
1193575094500,CplD,40
1193575098000,MRd,80
1193575162000,CplD,40
1193575226000,CplD,40
1193575310000,MRd,80
1193575324000,CplD,30
1193575442000,MRd,80
1193575540000,CplD,10
1193575598000,CplD,40
1193575636000,CplD,40
1193575696000,CplD,40
1193575731500,CplD,40
1193575766000,CplD,40
1193575800500,CplD,40
1193575812000,MRd,80
1193575835000,CplD,40
1193575869500,CplD,40
1193575904000,CplD,40
1193575906000,MRd,80
1193575980000,MRd,80
1193576018000,CplD,40
1193576050000,MRd,80
1193576052500,CplD,40
1193576116000,CplD,40
1193576118000,MRd,80
1193576180000,CplD,40
1193576246000,CplD,40
1193576268000,MRd,80
1193576342000,CplD,30
1193576396000,MRd,80
1193576406000,CplD,10
1193576564000,CplD,40
1193576572000,MRd,80
1193576598500,CplD,40
1193576633000,CplD,40
1193576667500,CplD,40
1193576703000,CplD,40
1193576741500,CplD,40
1193576776000,CplD,40
1193576811500,CplD,40
1193576814000,MRd,80
1193576846000,CplD,40
1193576880000,MRd,80
1193576881500,CplD,40
1193576916000,CplD,40
1193576950500,CplD,40
1193576952000,MRd,80
1193576989000,CplD,40
1193577023500,CplD,40
1193577024000,MRd,80
1193577059000,CplD,40
1193577093500,CplD,40
1193577096000,MRd,80
1193577129000,CplD,10
1193577141500,CplD,30
1193577166000,CplD,40
1193577201500,CplD,40
1193577243000,CplD,40
1193577292000,CplD,40
1193577327500,CplD,40
1193577362000,CplD,40
1193577397500,CplD,40
1193577432000,CplD,40
1193577466500,CplD,40
1193577505000,CplD,10
1193577515500,CplD,30
1193577542000,CplD,40
1193577584000,CplD,30
1193577610500,CplD,10
1193577668000,CplD,40
1193577732000,CplD,10
1193577810000,CplD,30
1193577844000,CplD,40
1193577878500,CplD,40
1193578072000,CplD,40
1193578106500,CplD,40
1193578141000,CplD,40
1193578175500,CplD,40
1193578210000,CplD,40
1193578244500,CplD,10
1193578420000,CplD,30
1193578452000,CplD,40
1193578486500,CplD,40
1193578521000,CplD,40
1193580142000,MWr,4
1193580226000,MWr,1
1193652186000,MWr,1
1193699994000,MWr,1
1193700234000,MRd,10
1193701084000,CplD,10
1193701434000,MRd,10
1193701466000,MRd,80
1193701474000,MRd,80
1193701486000,MRd,80
1193701494000,MRd,80
1193701502000,MRd,80
1193701510000,MRd,80
1193701516000,MRd,80
1193701524000,MRd,80
1193702254000,CplD,10
1193702318000,CplD,40
1193702396000,CplD,30
1193702422500,CplD,10
1193702462000,CplD,40
1193702466000,MRd,c
1193702488000,MRd,80
1193702496000,MRd,80
1193702496500,CplD,40
1193702504000,MRd,80
1193702512000,MRd,80
1193702524000,MRd,80
1193702532000,MRd,80
1193702535000,CplD,40
1193702540000,MRd,80
1193702548000,MRd,80
1193702569500,CplD,40
1193702602000,MRd,80
1193702604000,CplD,40
1193702638500,CplD,40
1193702673000,CplD,40
1193702708500,CplD,40
1193702716000,MRd,80
1193702743000,CplD,40
1193702778000,MRd,80
1193702778500,CplD,40
1193702817000,CplD,40
1193702850000,MRd,80
1193702852500,CplD,40
1193702888000,CplD,40
1193702922000,MRd,80
1193702922500,CplD,40
1193702992000,MRd,80
1193703068000,MRd,80
1193703138000,MRd,80
1193703276000,CplD,c
1193703378000,CplD,40
1193703412500,CplD,40
1193703448000,CplD,40
1193703482500,CplD,40
1193703519000,CplD,40
1193703551500,CplD,40
1193703590000,CplD,40
1193703624500,CplD,40
1193703626000,MRd,80
1193703661000,CplD,40
1193703695500,CplD,40
1193703698000,MRd,80
1193703728000,CplD,40
1193703764500,CplD,40
1193703766000,MRd,80
1193703799000,CplD,40
1193703837500,CplD,40
1193703840000,MRd,80
1193703873000,CplD,40
1193703907500,CplD,40
1193703908000,MRd,80
1193703943000,CplD,40
1193703977500,CplD,40
1193703978000,MRd,80
1193704013000,CplD,40
1193704046000,MRd,80
1193704047500,CplD,40
1193704083000,CplD,40
1193704118000,MRd,80
1193704121500,CplD,40
1193704157000,CplD,40
1193704190000,MRd,80
1193704192500,CplD,40
1193704227000,CplD,40
1193704258000,MRd,80
1193704261500,CplD,40
1193704297000,CplD,40
1193704331500,CplD,40
1193704332000,MRd,80
1193704371000,CplD,40
1193704405500,CplD,40
1193704406000,MRd,80
1193704441000,CplD,40
1193704475500,CplD,40
1193704476000,MRd,80
1193704511000,CplD,40
1193704545500,CplD,40
1193704546000,MRd,80
1193704581000,CplD,40
1193704619500,CplD,40
1193704620000,MRd,80
1193704655000,CplD,40
1193704689500,CplD,40
1193704690000,MRd,80
1193704725000,CplD,40
1193704759500,CplD,40
1193704760000,MRd,80
1193704795000,CplD,40
1193704829500,CplD,40
1193704830000,MRd,80
1193704887000,CplD,40
1193704902000,MRd,80
1193704922500,CplD,40
1193704957000,CplD,40
1193704974000,MRd,80
1193704992500,CplD,40
1193705027000,CplD,40
1193705042000,MRd,80
1193705062500,CplD,40
1193705097000,CplD,40
1193705136000,MRd,80
1193705136500,CplD,40
1193705171000,CplD,40
1193705206000,MRd,80
1193705206500,CplD,40
1193705241000,CplD,40
1193705276000,MRd,80
1193705276500,CplD,40
1193705311000,CplD,40
1193705346000,MRd,80
1193705346500,CplD,40
1193705381000,CplD,40
1193705419500,CplD,40
1193705422000,MRd,80
1193705455000,CplD,40
1193705490500,CplD,40
1193705492000,MRd,80
1193705525000,CplD,40
1193705559500,CplD,40
1193705560000,MRd,80
1193705595000,CplD,40
1193705629500,CplD,40
1193705630000,MRd,80
1193705669000,CplD,40
1193705703500,CplD,40
1193705704000,MRd,80
1193705739000,CplD,40
1193705773500,CplD,40
1193705774000,MRd,80
1193705811000,CplD,40
1193705842000,MRd,80
1193705843500,CplD,40
1193705881000,CplD,40
1193705918000,MRd,80
1193705919500,CplD,40
1193705955000,CplD,40
1193705988000,MRd,80
1193705989500,CplD,40
1193706025000,CplD,40
1193706058000,MRd,80
1193706059500,CplD,40
1193706112000,CplD,40
1193706128000,MRd,80
1193706146500,CplD,40
1193706185000,CplD,40
1193706202000,MRd,80
1193706220500,CplD,40
1193706255000,CplD,40
1193706272000,MRd,80
1193706290500,CplD,40
1193706325000,CplD,40
1193706360000,MRd,80
1193706360500,CplD,40
1193706395000,CplD,40
1193706436000,MRd,80
1193706454000,CplD,40
1193706489500,CplD,40
1193706506000,MRd,80
1193706524000,CplD,40
1193706558500,CplD,40
1193706576000,MRd,80
1193706594000,CplD,40
1193706628500,CplD,40
1193706664000,CplD,40
1193706666000,MRd,80
1193706702500,CplD,40
1193706738000,MRd,80
1193706740000,CplD,40
1193706772500,CplD,40
1193706810000,CplD,40
1193706810000,MRd,80
1193706844500,CplD,40
1193706878000,MRd,80
1193706879000,CplD,40
1193706914500,CplD,40
1193706949000,CplD,40
1193706954000,MRd,80
1193706988500,CplD,40
1193707023000,CplD,40
1193707024000,MRd,80
1193707058500,CplD,40
1193707092000,MRd,80
1193707093000,CplD,40
1193707128500,CplD,40
1193707162000,MRd,80
1193707163000,CplD,40
1193707198500,CplD,40
1193707237000,CplD,40
1193707238000,MRd,80
1193707272500,CplD,40
1193707307000,CplD,40
1193707308000,MRd,80
1193707342500,CplD,40
1193707376000,MRd,80
1193707377000,CplD,40
1193707412500,CplD,40
